"","access_clean","access_eletric","agro_land","water_total","co2_total","crop_prod","air_transport","fert_cons","food_prod","forest_area","gov_effective","land_area","livestock_prod","methane_total","nitrous_total","air_pollution","pop_density","reg_quality","renewables","fish_total","urban_pop","renew_water","sdi","ndgain","paris","continent"
"AFG",32.45,97.7,58.2769881790166,20.282,0.297563650500103,121.7,20.0142059549175,10.9725,112.55,1.85278199408184,-1.51861417293549,652230,99.35,15679.104,4647.418829,52.41704109,57.9082516903546,-1.11377799510956,18.51,10729,25.754,1248.36180644069,0.551,32.8444258217591,"No","Asia"
"ALB",81.6,100,42.8467153284672,1.131,1.74946245713759,107.76,0,94.4393278688525,104.11,28.7919708029197,-0.0621441006660461,27400,99.01,2848.125872,1121.354209,18.63878032,104.167554744526,0.272065460681915,40.11,15011.5,61.229,9424.7371672043,0.806,50.780027038358,"No","Europe"
"DZA",99.7,99.5,17.347004145287,9.802,3.99440182789199,121.01,25.641745,20.6756433750299,112.16,0.814110350369751,-0.56773042678833,2381741,95.95,90220.78805,12597.83722,32.83308539,17.9303156808402,-1.38831329345703,0.16,105388.57,73.189,263.362676092617,0.781,47.4782850617347,"No","Africa"
"AGO",49.3,45.6338806152344,36.7987486965589,0.7057,0.753638205444169,107.59,68.04358,6.65242401640873,107.53,53.8721745407877,-1.12856233119965,1246700,106.28,35023.4996,18795.60166,28.4208104,25.9513820486083,-0.833844542503357,54.39,401696,66.177,4574.45399873424,0.626,37.4019055399106,"No","Africa"
"ATG",100,100,20.4545454545455,0.0044,5.52558159731646,84.77,0.18092731080894,10.2725,86.62,18.5909090909091,-0.0546945296227932,440,91.93,203.200389,12.02652,17.59200058,209.356818181818,0.470356702804565,0.69,3185,24.506,564.499495207182,0.597,49.440783762307,"No","Americas"
"ARG",99.9,100,42.5907792625398,37.69,3.74202981162433,113.13,280.283172,50.869758729766,112.59,10.4801786099266,-0.120677568018436,2736690,110.51,132855.1587,49875.87787,13.51118918,16.4208266190179,-0.453079700469971,10.74,828687.19,91.991,6497.7385199647,0.764,49.7589891276937,"No","Americas"
"ARM",98.1,100,58.9041095890411,2.865,2.1965523671897,68.53,0.3265,203.100944244604,81.28,11.5447839831401,-0.225958585739136,28470,101.42,2323.339834,1158.334532,33.65637939,99.0727783631893,0.242604270577431,10.34,18270,63.219,2431.75038520146,0.807,57.1327456532886,"No","Asia"
"AUS",100,100,47.1237724290889,10.53,15.5990453615115,84.06,1931.1555305,84.4899865894744,91.53,17.4213145571644,1.53876042366028,7692020,96.17,144211.7857,61687.22811,6.745497859,3.29365056253104,1.86464607715607,10.06,257363.53,86.124,19419.9083901346,0.156,69.5082299698264,"No","Oceania"
"AUT",100,100,32.1280901599612,3.49,7.26333120118199,98.08,320.036527,118.509049210504,99.96,47.2074648570044,1.49224412441254,82520,101.07,6963.743072,3779.04452,12.16821803,107.609306834707,1.44640731811523,33.98,4605.04,58.515,6193.74949323868,0.239,69.955487203306,"No","Europe"
"AZE",98,100,57.8278123260822,12.59,3.54349533028946,137.56,1620.43791,75.5911259541985,121.46,13.5533670481767,-0.12810717523098,82654,112.96,16038.22239,4478.074702,25.4950546,121.280071139933,-0.223895654082298,1.62,1708.4,56.031,809.534208082513,0.774,53.4808183508117,"No","Asia"
